"Blocking Key Value","Frequency"
"NEAN","1"
"DUKE2","2"
"FATHTR","1"
"STPR","1"
"KESAFI","2"
"STPO","1"
"SU20","5"
"KI64TH","2"
"12KODI","1"
"REAVAN","1"
"ZEESVI","1"
"NEAT","1"
"CUROFO","5"
"NAPOSH","1"
"X-NEDI","6"
"MADARA","2"
"SUSW&","6"
"NOTHWH","1"
"MELALI","14"
"RA–TH","1"
"SOAD3","1"
"WHINTH","19"
"PHBRTH","1"
"SOAD2","8"
"TWRP","1"
"BETHDA","1"
"GRSLTE","5"
"SOAD&","1"
"SESTRE","4"
"STPA","2"
"HORECO","1"
"EMDIRE","1"
"TWSI","2"
"CEDA","10"
"D","1"
"NECO","3"
"CUROGX","1"
"STSA","2"
"CHBLTE","1"
"BE2","17"
"BE3","13"
"STSH","1"
"MYVITU","3"
"STSE","1"
"LOTUAC","6"
"MO2:UL","1"
"STSO","2"
"LERIDR","1"
"STSL","2"
"STSK","1"
"COPLJU","5"
"NEBO","1"
"STQU","5"
"NEBR","1"
"COFONA","1"
"FATHUM","6"
"POPRKU","14"
"RUTOAN","3"
"FRANFL","1"
"JULECH","1"
"STRE","2"
"STRA","1"
"APES(V","2"
"STRI","1"
"LOTUCO","2"
"WITHGA","2"
"LIMC2:","1"
"GAISOF","1"
"SU64","1"
"NF'9","2"
"AMGIJU","1"
"PE4:DA","1"
"WAFOCH","1"
"LOTUCA","2"
"HALESA","1"
"RIOFNA","7"
"ALRORA","4"
"COPLGI","1"
"RIOFNI","2"
"SPHU(2","2"
"LIMC3:","1"
"ORTABL","2"
"STSU","1"
"AMGIKI","1"
"STST","2"
"REEA(V","1"
"STTA","5"
"ROTRQU","1"
"STTI","2"
"LOTUBA","6"
"FEEF2:","2"
"STTR","2"
"TWWO","1"
"FAMUEV","4"
"SHSASP","3"
"DAITYO","2"
"DREDPO","1"
"PE4:AR","4"
"WIXTUN","1"
"RIOFPR","1"
