"RecordIDS","AverageConsistency","Developers-Consistency","Developers-Values","Mode-Consistency","Mode-Values","Platform-Consistency","Platform-Values","Genres-Consistency","Genres-Values","Publishers-Consistency","Publishers-Values","Name-Consistency","Name-Values","Release-Consistency","Release-Values"
"DBpedia_Video_Game_21167+Kaggle1_Video_Game_8265","0.7142857142857143","1.0","{[, Code Mystics, , Ukiyotei, , Yumekobo, ]}","1.0","{[, Multiplayer video game, , Single-player video game, ]}","1.0","{Sega Saturn|Sega Saturn}","0.0","{[, Fighting game, ]|[, Fighting, ]}","1.0","{[, SNK, ]|[, SNK, ]}","1.0","{The King of Fighters '97|The King of Fighters '97}","0.0","{1997-07-28T00:00|1998-01-01T00:00}"
"DBpedia_Video_Game_3477+Kaggle1_Video_Game_8229","0.5714285714285714","0.0","{[, 2K Los Angeles, ]|[, Kush Games, ]}","1.0","{[, Multiplayer video game, , Single-player, ]}","1.0","{GameCube|GameCube}","0.0","{[, Sports game, ]|[, Sports, ]}","0.0","{[, 2K Sports, ]|[, Take-Two Interactive, ]}","1.0","{Major League Baseball 2K6|Major League Baseball 2K6}","1.0","{2006-04-03T00:00|2006-01-01T00:00}"
"DBpedia_Video_Game_9458+Kaggle1_Video_Game_3002","0.7142857142857143","1.0","{[, Appaloosa Interactive, ]}","1.0","{[, Multiplayer, , Single player, ]}","1.0","{PlayStation (console)|PlayStation (console)}","0.0","{[, Third-person shooter, ]|[, Shooter, ]}","0.0","{[, Konami, ]|[, Konami Digital Entertainment, ]}","1.0","{Contra: Legacy of War|Contra: Legacy of War}","1.0","{1996-11-29T00:00|1996-01-01T00:00}"
"DBpedia_Video_Game_13357+DBpedia_Video_Game_13556+DBpedia_Video_Game_8185+Kaggle1_Video_Game_10739+Kaggle1_Video_Game_1191+Kaggle1_Video_Game_1890","0.5238095238095238","0.3333333333333333","{[, IllFonic, ]|[, Rebellion Developments, ]|[, EA Tiburon, ]|[, Rebellion, ]|[, EA Canada, ]|[, EA Tiburon, ]}","0.6666666666666666","{[, Multiplayer video game, ]|[, Single-player video game, ]|[, Single-player video game, ]}","1.0","{Xbox 360|Xbox 360|Xbox 360|Xbox 360|Xbox 360|Xbox 360}","0.0","{[, First-person shooter, ]|[, Hack and slash, , Third-person shooter, ]|[, American football, ]|[, Shooter, ]|[, Racing, ]|[, Action, ]}","0.3333333333333333","{[, THQ, ]|[, Konami, ]|[, EA Sports, ]|[, Konami Digital Entertainment, ]|[, Electronic Arts, ]|[, Electronic Arts, ]}","0.3333333333333333","{Nexuiz (2012 video game)|NeverDead|NCAA Football 13|NeverDead|Need for Speed: Most Wanted|NCAA Football 13}","1.0","{2012-02-29T00:00|2012-01-31T00:00|2012-07-10T00:00|2012-01-01T00:00|2012-01-01T00:00|2012-01-01T00:00}"
"DBpedia_Video_Game_13405+Kaggle1_Video_Game_3417","0.7142857142857143","1.0","{[, Kojima Productions, ]|[, Kojima Productions, ]}","1.0","{[, Single-player, ]}","1.0","{PlayStation 3|PlayStation 3}","0.0","{[, Stealth game, ]|[, Action, ]}","0.0","{[, Konami, ]|[, Konami Digital Entertainment, ]}","1.0","{Metal Gear Solid V: Ground Zeroes|Metal Gear Solid V: Ground Zeroes}","1.0","{2014-03-18T00:00|2014-01-01T00:00}"
"DBpedia_Video_Game_24570+Kaggle1_Video_Game_4184","0.8571428571428571","1.0","{[, Artoon, ]|[, Artoon, ]}","1.0","{[, Multiplayer video game, , Single-player video game, ]}","1.0","{Wii|Wii}","0.0","{[, Action game, ]|[, Action, ]}","1.0","{[, Nintendo, ]|[, Nintendo, ]}","1.0","{FlingSmash|FlingSmash}","1.0","{2010-11-07T00:00|2010-01-01T00:00}"
"DBpedia_Video_Game_6030+Kaggle1_Video_Game_13690","0.5714285714285714","1.0","{[, Inti Creates, ]}","1.0","{[, Single-player, ]}","1.0","{PlayStation Portable|PlayStation Portable}","0.0","{[, Beat'em up, ]|[, Action, ]}","0.0","{[, Bandai Namco Games, ]|[, Namco Bandai Games, ]}","0.0","{Great Battle Fullblast|Great Battle Full Blast}","1.0","{2012-03-01T00:00|2012-01-01T00:00}"
"DBpedia_Video_Game_23097+Kaggle1_Video_Game_6203","0.7142857142857143","0.0","{[, San Diego Studio, ]|[, Zindagi Games, ]}","1.0","{[, Single-player, ]}","1.0","{PlayStation 3|PlayStation 3}","0.0","{[, Action-adventure game, ]|[, Action, ]}","1.0","{[, Sony Computer Entertainment, ]|[, Sony Computer Entertainment, ]}","1.0","{Medieval Moves: Deadmund's Quest|Medieval Moves: Deadmund's Quest}","1.0","{2011-11-15T00:00|2011-01-01T00:00}"
"DBpedia_Video_Game_20313+Kaggle1_Video_Game_3431","0.42857142857142855","0.0","{[, Dimps, , Sonic Team, ]|[, Project Soul, ]}","1.0","{[, Multiplayer video game, , Single-player video game, ]}","1.0","{Xbox 360|Xbox 360}","0.0","{[, Platform game, ]|[, Fighting, ]}","0.0","{[, Sega, ]|[, Namco Bandai Games, ]}","0.0","{Sonic the Hedgehog 4: Episode II|SoulCalibur V}","1.0","{2012-05-15T00:00|2012-01-01T00:00}"
"DBpedia_Video_Game_17005+Kaggle1_Video_Game_13429+Kaggle1_Video_Game_9912","0.619047619047619","0.0","{[, Fun Labs, ]|[, FUN Labs, ]|[, Moss, ]}","1.0","{[, Single-player, ]}","1.0","{Xbox 360|Xbox 360|Xbox 360}","0.0","{[, Sports game, ]|[, Sports, ]|[, Shooter, ]}","0.6666666666666666","{[, Activision, ]|[, Activision, ]|[, Moss, ]}","0.6666666666666666","{Rapala Fishing Frenzy 2009|Rapala Fishing Frenzy 2009|Raiden IV}","1.0","{2008-10-17T00:00|2008-01-01T00:00|2008-01-01T00:00}"
"DBpedia_Video_Game_4522+Kaggle1_Video_Game_10531+Kaggle1_Video_Game_11913+Kaggle1_Video_Game_16502","0.5714285714285714","0.0","{[, Kuju Entertainment, ]|[, Global A, ]|[, Hudson Soft, ]}","1.0","{[, Multiplayer, , Single-player, ]}","1.0","{PlayStation Portable|PlayStation Portable|PlayStation Portable|PlayStation Portable}","0.5","{[, Tactical role-playing game, ]|[, Strategy, ]|[, Role-Playing, ]|[, Role-Playing, ]}","0.0","{[, Atari, , Inc. (1993–present), ]|[, Atari, ]|[, Global A Entertainment, ]|[, Rising Star Games, ]}","0.5","{Dungeons & Dragons Tactics|Dungeons & Dragons Tactics|Dungeon Maker II: The Hidden War|Dungeon Explorer: Warriors of Ancient Arts}","1.0","{2007-08-14T00:00|2007-01-01T00:00|2007-01-01T00:00|2007-01-01T00:00}"
"DBpedia_Video_Game_12343+Kaggle1_Video_Game_8110","0.5714285714285714","0.0","{[, Griptonite Games, , Papaya Studio, , Wii, ]|[, Papaya Studios, ]}","1.0","{[, Single-player, ]}","1.0","{Xbox 360|Xbox 360}","0.0","{[, Action-adventure game, ]|[, Platform, ]}","0.0","{[, D3 Publisher, ]|[, D3Publisher, ]}","1.0","{Ben 10 Ultimate Alien: Cosmic Destruction|Ben 10 Ultimate Alien: Cosmic Destruction}","1.0","{2010-10-05T00:00|2010-01-01T00:00}"
"DBpedia_Video_Game_12170+Kaggle1_Video_Game_5604","0.5714285714285714","0.0","{[, EA Bright Light, , Full Fat, , Gameloft, ]|[, EA Bright Light, ]}","1.0","{[, Single-player video game, ]}","1.0","{PlayStation 3|PlayStation 3}","0.0","{[, Action-adventure game, ]|[, Action, ]}","1.0","{[, Electronic Arts, ]|[, Electronic Arts, ]}","0.0","{Harry Potter and the Deathly Hallows – Part 2 (video game)|Harry Potter and the Deathly Hallows - Part 2}","1.0","{2011-07-11T00:00|2011-01-01T00:00}"
"DBpedia_Video_Game_12685+Kaggle1_Video_Game_5017+Kaggle1_Video_Game_9715","0.6666666666666666","1.0","{[, Edge of Reality, ]|[, Edge of Reality, ]}","1.0","{[, Single-player video game, ]}","1.0","{PlayStation 2|PlayStation 2|PlayStation 2}","0.0","{[, Action-adventure game, ]|[, Action, ]|[, Fighting, ]}","0.6666666666666666","{[, Sega, ]|[, Sega, ]|[, Ignition Entertainment, ]}","0.0","{The Incredible Hulk (2008 video game)|The Incredible Hulk|The King of Fighters '98 Ultimate Match}","1.0","{2008-06-05T00:00|2008-01-01T00:00|2008-01-01T00:00}"
"DBpedia_Video_Game_11880+Kaggle1_Video_Game_8738","0.7142857142857143","1.0","{[, Visual Concepts, ]|[, Visual Concepts, ]}","1.0","{[, Multiplayer video game, , Single-player video game, ]}","1.0","{Wii|Wii}","0.0","{[, Sports game, ]|[, Sports, ]}","0.0","{[, 2K Sports, ]|[, Take-Two Interactive, ]}","1.0","{Major League Baseball 2K11|Major League Baseball 2K11}","1.0","{2011-03-08T00:00|2011-01-01T00:00}"
