"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameDevComparatorJaccard record1Value","[0] GameDevComparatorJaccard record2Value","[0] GameDevComparatorJaccard record1PreprocessedValue","[0] GameDevComparatorJaccard record2PreprocessedValue","[0] GameDevComparatorJaccard similarity","[0] GameDevComparatorJaccard postproccesedSimilarity","[1] GameNameComparatorMongeElkan record1Value","[1] GameNameComparatorMongeElkan record2Value","[1] GameNameComparatorMongeElkan record1PreprocessedValue","[1] GameNameComparatorMongeElkan record2PreprocessedValue","[1] GameNameComparatorMongeElkan similarity","[1] GameNameComparatorMongeElkan postproccesedSimilarity","[2] GameGenreComparatorMongeElkan record1Value","[2] GameGenreComparatorMongeElkan record2Value","[2] GameGenreComparatorMongeElkan record1PreprocessedValue","[2] GameGenreComparatorMongeElkan record2PreprocessedValue","[2] GameGenreComparatorMongeElkan similarity","[2] GameGenreComparatorMongeElkan postproccesedSimilarity","[3] GameNameComparatorLowerCaseJaccard record1Value","[3] GameNameComparatorLowerCaseJaccard record2Value","[3] GameNameComparatorLowerCaseJaccard record1PreprocessedValue","[3] GameNameComparatorLowerCaseJaccard record2PreprocessedValue","[3] GameNameComparatorLowerCaseJaccard similarity","[3] GameNameComparatorLowerCaseJaccard postproccesedSimilarity","[4] GameNameComparatorLevenshtein record1Value","[4] GameNameComparatorLevenshtein record2Value","[4] GameNameComparatorLevenshtein record1PreprocessedValue","[4] GameNameComparatorLevenshtein record2PreprocessedValue","[4] GameNameComparatorLevenshtein similarity","[4] GameNameComparatorLevenshtein postproccesedSimilarity","[5] GameNameComparatorJaccard record1Value","[5] GameNameComparatorJaccard record2Value","[5] GameNameComparatorJaccard record1PreprocessedValue","[5] GameNameComparatorJaccard record2PreprocessedValue","[5] GameNameComparatorJaccard similarity","[5] GameNameComparatorJaccard postproccesedSimilarity","[6] GamePlatformComparatorMongeElkan record1Value","[6] GamePlatformComparatorMongeElkan record2Value","[6] GamePlatformComparatorMongeElkan record1PreprocessedValue","[6] GamePlatformComparatorMongeElkan record2PreprocessedValue","[6] GamePlatformComparatorMongeElkan similarity","[6] GamePlatformComparatorMongeElkan postproccesedSimilarity","[7] GamePublisherComparatorLevenshtein record1Value","[7] GamePublisherComparatorLevenshtein record2Value","[7] GamePublisherComparatorLevenshtein record1PreprocessedValue","[7] GamePublisherComparatorLevenshtein record2PreprocessedValue","[7] GamePublisherComparatorLevenshtein similarity","[7] GamePublisherComparatorLevenshtein postproccesedSimilarity","[8] GamePublisherLJaccard record1Value","[8] GamePublisherLJaccard record2Value","[8] GamePublisherLJaccard record1PreprocessedValue","[8] GamePublisherLJaccard record2PreprocessedValue","[8] GamePublisherLJaccard similarity","[8] GamePublisherLJaccard postproccesedSimilarity","[9] GameReleaseComparatorExactYear record1Value","[9] GameReleaseComparatorExactYear record2Value","[9] GameReleaseComparatorExactYear record1PreprocessedValue","[9] GameReleaseComparatorExactYear record2PreprocessedValue","[9] GameReleaseComparatorExactYear similarity","[9] GameReleaseComparatorExactYear postproccesedSimilarity","[10] GamePlatformComparatorJaccard record1Value","[10] GamePlatformComparatorJaccard record2Value","[10] GamePlatformComparatorJaccard record1PreprocessedValue","[10] GamePlatformComparatorJaccard record2PreprocessedValue","[10] GamePlatformComparatorJaccard similarity","[10] GamePlatformComparatorJaccard postproccesedSimilarity"
"WekaMatchingRule","DBpedia_Video_Game_9365","Kaggle1_Video_Game_3758","0.12195121951219512",,"","","","","0.0","0.0","007: Quantum of Solace","007 Racing","007: Quantum of Solace","007 Racing","0.6242424249649048","0.6242424249649048",", First-person shooter, , Third-person shooter, ",", Racing, ",", First-person shooter, , Third-person shooter, ",", Racing, ","0.7911111116409302","0.7911111116409302","007: quantum of solace","007 racing","007: quantum of solace","007 racing","0.2","0.0","007: Quantum of Solace","007 Racing","007: Quantum of Solace","007 Racing","0.2272727272727273","0.2272727272727273","007: Quantum of Solace","007 Racing","007: Quantum of Solace","007 Racing","0.2","0.0","PlayStation 3","PlayStation (console)","PlayStation 3","PlayStation (console)","0.898901104927063","0.898901104927063",", Activision, ",", Electronic Arts, ",", Activision, ",", Electronic Arts, ","0.368421052631579","0.368421052631579",", activision, ",", electronic arts, ",", activision, ",", electronic arts, ","0.0","0.0","2008-10-31T00:00","2000-01-01T00:00","2008-10-31T00:00","2000-01-01T00:00","0.0","0.0","playstation 3","playstation (console)","playstation 3","playstation (console)","0.3333333333333333","0.0"
"WekaMatchingRule","DBpedia_Video_Game_9365","Kaggle1_Video_Game_12285","0.12195121951219512",,"","","","","0.0","0.0","007: Quantum of Solace","187: Ride or Die","007: Quantum of Solace","187: Ride or Die","0.5852272510528564","0.5852272510528564",", First-person shooter, , Third-person shooter, ",", Racing, ",", First-person shooter, , Third-person shooter, ",", Racing, ","0.7911111116409302","0.7911111116409302","007: quantum of solace","187: ride or die","007: quantum of solace","187: ride or die","0.0","0.0","007: Quantum of Solace","187: Ride or Die","007: Quantum of Solace","187: Ride or Die","0.31818181818181823","0.31818181818181823","007: Quantum of Solace","187: Ride or Die","007: Quantum of Solace","187: Ride or Die","0.0","0.0","PlayStation 3","Xbox (console)","PlayStation 3","Xbox (console)","0.43223443627357483","0.43223443627357483",", Activision, ",", Ubisoft, ",", Activision, ",", Ubisoft, ","0.4285714285714286","0.4285714285714286",", activision, ",", ubisoft, ",", activision, ",", ubisoft, ","0.0","0.0","2008-10-31T00:00","2005-01-01T00:00","2008-10-31T00:00","2005-01-01T00:00","0.0","0.0","playstation 3","xbox (console)","playstation 3","xbox (console)","0.0","0.0"
"WekaMatchingRule","DBpedia_Video_Game_12988","Kaggle1_Video_Game_1635","0.12195121951219512",,"","","","","0.0","0.0","1001 Crystal Mazes Collection","2010 FIFA World Cup South Africa","1001 Crystal Mazes Collection","2010 FIFA World Cup South Africa","0.5448480844497681","0.5448480844497681",", Puzzle game, ",", Sports, ",", Puzzle game, ",", Sports, ","0.6666666666666666","0.6666666666666666","1001 crystal mazes collection","2010 fifa world cup south africa","1001 crystal mazes collection","2010 fifa world cup south africa","0.0","0.0","1001 Crystal Mazes Collection","2010 FIFA World Cup South Africa","1001 Crystal Mazes Collection","2010 FIFA World Cup South Africa","0.1875","0.1875","1001 Crystal Mazes Collection","2010 FIFA World Cup South Africa","1001 Crystal Mazes Collection","2010 FIFA World Cup South Africa","0.0","0.0","Nintendo DSi","PlayStation 3","Nintendo DSi","PlayStation 3","0.5004273653030396","0.5004273653030396",", Teyon, ",", Electronic Arts, ",", Teyon, ",", Electronic Arts, ","0.368421052631579","0.368421052631579",", teyon, ",", electronic arts, ",", teyon, ",", electronic arts, ","0.0","0.0","2010-05-03T00:00","2010-01-01T00:00","2010-05-03T00:00","2010-01-01T00:00","1.0","1.0","nintendo dsi","playstation 3","nintendo dsi","playstation 3","0.0","0.0"
"WekaMatchingRule","DBpedia_Video_Game_6123","Kaggle1_Video_Game_8826","0.12195121951219512","0","","","","","0.0","0.0","FIFA 06","FIFA 06: Road to FIFA World Cup","FIFA 06","FIFA 06: Road to FIFA World Cup","0.8451613187789917","0.8451613187789917",", Sports game, ",", Sports, ",", Sports game, ",", Sports, ","0.9696969787279764","0.9696969787279764","fifa 06","fifa 06: road to fifa world cup","fifa 06","fifa 06: road to fifa world cup","0.3333333333333333","0.0","FIFA 06","FIFA 06: Road to FIFA World Cup","FIFA 06","FIFA 06: Road to FIFA World Cup","0.22580645161290325","0.22580645161290325","FIFA 06","FIFA 06: Road to FIFA World Cup","FIFA 06","FIFA 06: Road to FIFA World Cup","0.3333333333333333","0.0","Game Boy Advance","Xbox 360","Game Boy Advance","Xbox 360","0.2916666567325592","0.2916666567325592",", Electronic Arts, ",", Electronic Arts, ",", Electronic Arts, ",", Electronic Arts, ","1.0","1.0",", electronic arts, ",", electronic arts, ",", electronic arts, ",", electronic arts, ","1.0","1.0","2005-09-30T00:00","2005-01-01T00:00","2005-09-30T00:00","2005-01-01T00:00","1.0","1.0","game boy advance","xbox 360","game boy advance","xbox 360","0.0","0.0"
"WekaMatchingRule","DBpedia_Video_Game_6018","Kaggle1_Video_Game_7430","0.12195121951219512","0","","","","","0.0","0.0","Deus Ex (video game)","Deus Ex: The Conspiracy","Deus Ex (video game)","Deus Ex: The Conspiracy","0.699944257736206","0.699944257736206",", Action role-playing, , First-person shooter, , Immersive sim, , Stealth game, ",", Action, ",", Action role-playing, , First-person shooter, , Immersive sim, , Stealth game, ",", Action, ","0.8036937018235525","0.8036937018235525","deus ex (video game)","deus ex: the conspiracy","deus ex (video game)","deus ex: the conspiracy","0.3333333333333333","0.0","Deus Ex (video game)","Deus Ex: The Conspiracy","Deus Ex (video game)","Deus Ex: The Conspiracy","0.3913043478260869","0.3913043478260869","Deus Ex (video game)","Deus Ex: The Conspiracy","Deus Ex (video game)","Deus Ex: The Conspiracy","0.3333333333333333","0.0","Classic Mac OS","PlayStation 2","Classic Mac OS","PlayStation 2","0.48058608174324036","0.48058608174324036",", Square Enix Europe, ",", Eidos Interactive, ",", Square Enix Europe, ",", Eidos Interactive, ","0.31818181818181823","0.31818181818181823",", square enix europe, ",", eidos interactive, ",", square enix europe, ",", eidos interactive, ","0.0","0.0","2000-06-23T00:00","2002-01-01T00:00","2000-06-23T00:00","2002-01-01T00:00","0.0","0.0","classic mac os","playstation 2","classic mac os","playstation 2","0.0","0.0"
"WekaMatchingRule","DBpedia_Video_Game_8966","Kaggle1_Video_Game_2039","0.9814814814814815","1","","","","","0.0","0.0","Harry Potter and the Prisoner of Azkaban (video game)","Harry Potter and the Prisoner of Azkaban","Harry Potter and the Prisoner of Azkaban (video game)","Harry Potter and the Prisoner of Azkaban","0.9509434103965759","0.9509434103965759",", Action-adventure game, , Role-playing video game, ",", Action, ",", Action-adventure game, , Role-playing video game, ",", Action, ","0.8579020023345947","0.8579020023345947","harry potter and the prisoner of azkaban (video game)","harry potter and the prisoner of azkaban","harry potter and the prisoner of azkaban (video game)","harry potter and the prisoner of azkaban","0.7777777777777778","0.0","Harry Potter and the Prisoner of Azkaban (video game)","Harry Potter and the Prisoner of Azkaban","Harry Potter and the Prisoner of Azkaban (video game)","Harry Potter and the Prisoner of Azkaban","0.7547169811320755","0.7547169811320755","Harry Potter and the Prisoner of Azkaban (video game)","Harry Potter and the Prisoner of Azkaban","Harry Potter and the Prisoner of Azkaban (video game)","Harry Potter and the Prisoner of Azkaban","0.7777777777777778","0.0","PlayStation 2","PlayStation 2","PlayStation 2","PlayStation 2","1.0","1.0",", Electronic Arts, ",", Electronic Arts, ",", Electronic Arts, ",", Electronic Arts, ","1.0","1.0",", electronic arts, ",", electronic arts, ",", electronic arts, ",", electronic arts, ","1.0","1.0","2004-05-25T00:00","2004-01-01T00:00","2004-05-25T00:00","2004-01-01T00:00","1.0","1.0","playstation 2","playstation 2","playstation 2","playstation 2","1.0","1.0"
"WekaMatchingRule","DBpedia_Video_Game_6732","Kaggle1_Video_Game_3899","0.12195121951219512",,"","","","","0.0","0.0","'Splosion Man","100 All-Time Favorites","'Splosion Man","100 All-Time Favorites","0.37062937021255493","0.37062937021255493",", Action game, , Platform game, ",", Puzzle, ",", Action game, , Platform game, ",", Puzzle, ","0.6991452991962432","0.6991452991962432","'splosion man","100 all-time favorites","'splosion man","100 all-time favorites","0.0","0.0","'Splosion Man","100 All-Time Favorites","'Splosion Man","100 All-Time Favorites","0.18181818181818177","0.18181818181818177","'Splosion Man","100 All-Time Favorites","'Splosion Man","100 All-Time Favorites","0.0","0.0","Xbox 360","Nintendo DS","Xbox 360","Nintendo DS","0.405303031206131","0.405303031206131",", Microsoft Games Studios, ",", Ubisoft, ",", Microsoft Games Studios, ",", Ubisoft, ","0.2962962962962963","0.2962962962962963",", microsoft games studios, ",", ubisoft, ",", microsoft games studios, ",", ubisoft, ","0.0","0.0","2009-07-22T00:00","2009-01-01T00:00","2009-07-22T00:00","2009-01-01T00:00","1.0","1.0","xbox 360","nintendo ds","xbox 360","nintendo ds","0.0","0.0"
"WekaMatchingRule","DBpedia_Video_Game_6089","Kaggle1_Video_Game_12909","0.12195121951219512","0","","","","","0.0","0.0","BlowOut","BlowOut","BlowOut","BlowOut","1.0","1.0",", Shoot 'em up, ",", Shooter, ",", Shoot 'em up, ",", Shooter, ","0.9571428497632345","0.9571428497632345","blowout","blowout","blowout","blowout","1.0","1.0","BlowOut","BlowOut","BlowOut","BlowOut","1.0","1.0","BlowOut","BlowOut","BlowOut","BlowOut","1.0","1.0","GameCube","Xbox (console)","GameCube","Xbox (console)","0.4642857015132904","0.4642857015132904",", Majesco Entertainment, ",", Zoo Digital Publishing, ",", Majesco Entertainment, ",", Zoo Digital Publishing, ","0.23076923076923073","0.23076923076923073",", majesco entertainment, ",", zoo digital publishing, ",", majesco entertainment, ",", zoo digital publishing, ","0.0","0.0","2003-10-28T00:00","2003-01-01T00:00","2003-10-28T00:00","2003-01-01T00:00","1.0","1.0","gamecube","xbox (console)","gamecube","xbox (console)","0.0","0.0"
"WekaMatchingRule","DBpedia_Video_Game_2141","Kaggle1_Video_Game_11390","0.12195121951219512",,"","","","","0.0","0.0","007 Legends","101-in-1 Sports Megamix","007 Legends","101-in-1 Sports Megamix","0.42397892475128174","0.42397892475128174",", First-person shooter, , Interactive film, ",", Sports, ",", First-person shooter, , Interactive film, ",", Sports, ","0.7694444477558136","0.7694444477558136","007 legends","101-in-1 sports megamix","007 legends","101-in-1 sports megamix","0.0","0.0","007 Legends","101-in-1 Sports Megamix","007 Legends","101-in-1 Sports Megamix","0.17391304347826086","0.17391304347826086","007 Legends","101-in-1 Sports Megamix","007 Legends","101-in-1 Sports Megamix","0.0","0.0","PlayStation 3","Nintendo DS","PlayStation 3","Nintendo DS","0.4737762212753296","0.4737762212753296",", Activision, ",", Nordcurrent, ",", Activision, ",", Nordcurrent, ","0.33333333333333337","0.33333333333333337",", activision, ",", nordcurrent, ",", activision, ",", nordcurrent, ","0.0","0.0","2012-10-16T00:00","2010-01-01T00:00","2012-10-16T00:00","2010-01-01T00:00","0.0","0.0","playstation 3","nintendo ds","playstation 3","nintendo ds","0.0","0.0"
"WekaMatchingRule","DBpedia_Video_Game_9038","Kaggle1_Video_Game_2645",,"0","","","","","0.0","0.0","Caesar (video game)","Caesars Palace 2000: Millennium Gold Edition","Caesar (video game)","Caesars Palace 2000: Millennium Gold Edition","0.6254841685295105","0.6254841685295105",", City-building game, ",", Misc, ",", City-building game, ",", Misc, ","0.8117283980051676","0.8117283980051676","caesar (video game)","caesars palace 2000: millennium gold edition","caesar (video game)","caesars palace 2000: millennium gold edition","0.0","0.0","Caesar (video game)","Caesars Palace 2000: Millennium Gold Edition","Caesar (video game)","Caesars Palace 2000: Millennium Gold Edition","0.2727272727272727","0.2727272727272727","Caesar (video game)","Caesars Palace 2000: Millennium Gold Edition","Caesar (video game)","Caesars Palace 2000: Millennium Gold Edition","0.0","0.0","Atari ST","PlayStation (console)","Atari ST","PlayStation (console)","0.454365074634552","0.454365074634552",", Sierra On-Line, ",", Interplay, ",", Sierra On-Line, ",", Interplay, ","0.33333333333333337","0.33333333333333337",", sierra on-line, ",", interplay, ",", sierra on-line, ",", interplay, ","0.0","0.0","1992-10-12T00:00","2000-01-01T00:00","1992-10-12T00:00","2000-01-01T00:00","0.0","0.0","atari st","playstation (console)","atari st","playstation (console)","0.0","0.0"
