"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameDevComparatorJaccard record1Value","[0] GameDevComparatorJaccard record2Value","[0] GameDevComparatorJaccard record1PreprocessedValue","[0] GameDevComparatorJaccard record2PreprocessedValue","[0] GameDevComparatorJaccard similarity","[0] GameDevComparatorJaccard postproccesedSimilarity","[1] GameGenreComparatorMongeElkan record1Value","[1] GameGenreComparatorMongeElkan record2Value","[1] GameGenreComparatorMongeElkan record1PreprocessedValue","[1] GameGenreComparatorMongeElkan record2PreprocessedValue","[1] GameGenreComparatorMongeElkan similarity","[1] GameGenreComparatorMongeElkan postproccesedSimilarity","[2] GameNameComparatorLowerCaseJaccard record1Value","[2] GameNameComparatorLowerCaseJaccard record2Value","[2] GameNameComparatorLowerCaseJaccard record1PreprocessedValue","[2] GameNameComparatorLowerCaseJaccard record2PreprocessedValue","[2] GameNameComparatorLowerCaseJaccard similarity","[2] GameNameComparatorLowerCaseJaccard postproccesedSimilarity","[3] GameNameComparatorLevenshtein record1Value","[3] GameNameComparatorLevenshtein record2Value","[3] GameNameComparatorLevenshtein record1PreprocessedValue","[3] GameNameComparatorLevenshtein record2PreprocessedValue","[3] GameNameComparatorLevenshtein similarity","[3] GameNameComparatorLevenshtein postproccesedSimilarity","[4] GameNameComparatorJaccard record1Value","[4] GameNameComparatorJaccard record2Value","[4] GameNameComparatorJaccard record1PreprocessedValue","[4] GameNameComparatorJaccard record2PreprocessedValue","[4] GameNameComparatorJaccard similarity","[4] GameNameComparatorJaccard postproccesedSimilarity","[5] GamePlatformComparatorMongeElkan record1Value","[5] GamePlatformComparatorMongeElkan record2Value","[5] GamePlatformComparatorMongeElkan record1PreprocessedValue","[5] GamePlatformComparatorMongeElkan record2PreprocessedValue","[5] GamePlatformComparatorMongeElkan similarity","[5] GamePlatformComparatorMongeElkan postproccesedSimilarity","[6] GamePublisherComparatorLevenshtein record1Value","[6] GamePublisherComparatorLevenshtein record2Value","[6] GamePublisherComparatorLevenshtein record1PreprocessedValue","[6] GamePublisherComparatorLevenshtein record2PreprocessedValue","[6] GamePublisherComparatorLevenshtein similarity","[6] GamePublisherComparatorLevenshtein postproccesedSimilarity","[7] GamePublisherLJaccard record1Value","[7] GamePublisherLJaccard record2Value","[7] GamePublisherLJaccard record1PreprocessedValue","[7] GamePublisherLJaccard record2PreprocessedValue","[7] GamePublisherLJaccard similarity","[7] GamePublisherLJaccard postproccesedSimilarity","[8] GameReleaseComparatorExactYear record1Value","[8] GameReleaseComparatorExactYear record2Value","[8] GameReleaseComparatorExactYear record1PreprocessedValue","[8] GameReleaseComparatorExactYear record2PreprocessedValue","[8] GameReleaseComparatorExactYear similarity","[8] GameReleaseComparatorExactYear postproccesedSimilarity","[9] GamePlatformComparatorJaccard record1Value","[9] GamePlatformComparatorJaccard record2Value","[9] GamePlatformComparatorJaccard record1PreprocessedValue","[9] GamePlatformComparatorJaccard record2PreprocessedValue","[9] GamePlatformComparatorJaccard similarity","[9] GamePlatformComparatorJaccard postproccesedSimilarity"
"WekaMatchingRule","DBpedia_Video_Game_11432","VG_Sales14684","0.9619482496194824","1","","","","","0.0","0.0",", Action-adventure game, ",", Platform, ",", Action-adventure game, ",", Platform, ","0.8128306865692139","0.8128306865692139","animaniacs: the great edgar hunt","animaniacs: the great edgar hunt","animaniacs: the great edgar hunt","animaniacs: the great edgar hunt","1.0","1.0","Animaniacs: The Great Edgar Hunt","Animaniacs: The Great Edgar Hunt","Animaniacs: The Great Edgar Hunt","Animaniacs: The Great Edgar Hunt","1.0","1.0","Animaniacs: The Great Edgar Hunt","Animaniacs: The Great Edgar Hunt","Animaniacs: The Great Edgar Hunt","Animaniacs: The Great Edgar Hunt","1.0","1.0","GameCube","GameCube","GameCube","GameCube","1.0","1.0",", Ignition Entertainment, ",", Ignition Entertainment, ",", Ignition Entertainment, ",", Ignition Entertainment, ","1.0","1.0",", ignition entertainment, ",", ignition entertainment, ",", ignition entertainment, ",", ignition entertainment, ","1.0","1.0","2005-05-27T00:00","2005-01-01T00:00","2005-05-27T00:00","2005-01-01T00:00","1.0","1.0","gamecube","gamecube","gamecube","gamecube","1.0","1.0"
"WekaMatchingRule","DBpedia_Video_Game_384","VG_Sales5533","0.9619482496194824","1","","","","","0.0","0.0",", Music video game, , Rhythm game, ",", Misc, ",", Music video game, , Rhythm game, ",", Misc, ","0.7333333373069764","0.7333333373069764","the black eyed peas experience","the black eyed peas experience","the black eyed peas experience","the black eyed peas experience","1.0","1.0","The Black Eyed Peas Experience","The Black Eyed Peas Experience","The Black Eyed Peas Experience","The Black Eyed Peas Experience","1.0","1.0","The Black Eyed Peas Experience","The Black Eyed Peas Experience","The Black Eyed Peas Experience","The Black Eyed Peas Experience","1.0","1.0","Xbox 360","Xbox 360","Xbox 360","Xbox 360","1.0","1.0",", Ubisoft, ",", Ubisoft, ",", Ubisoft, ",", Ubisoft, ","1.0","1.0",", ubisoft, ",", ubisoft, ",", ubisoft, ",", ubisoft, ","1.0","1.0","2011-11-08T00:00","2011-01-01T00:00","2011-11-08T00:00","2011-01-01T00:00","1.0","1.0","xbox 360","xbox 360","xbox 360","xbox 360","1.0","1.0"
"WekaMatchingRule","DBpedia_Video_Game_6948","VG_Sales2698","0.9619482496194824","1","","","","","0.0","0.0",", Third-person shooter, ",", Shooter, ",", Third-person shooter, ",", Shooter, ","0.8357142806053162","0.8357142806053162","lost planet 2","lost planet 2","lost planet 2","lost planet 2","1.0","1.0","Lost Planet 2","Lost Planet 2","Lost Planet 2","Lost Planet 2","1.0","1.0","Lost Planet 2","Lost Planet 2","Lost Planet 2","Lost Planet 2","1.0","1.0","Xbox 360","Xbox 360","Xbox 360","Xbox 360","1.0","1.0",", Capcom, ",", Capcom, ",", Capcom, ",", Capcom, ","1.0","1.0",", capcom, ",", capcom, ",", capcom, ",", capcom, ","1.0","1.0","2010-04-28T00:00","2010-01-01T00:00","2010-04-28T00:00","2010-01-01T00:00","1.0","1.0","xbox 360","xbox 360","xbox 360","xbox 360","1.0","1.0"
"WekaMatchingRule","DBpedia_Video_Game_5666","VG_Sales5566","0.9619482496194824","1","","","","","0.0","0.0",", Action-adventure, ",", Action, ",", Action-adventure, ",", Action, ","0.9583333333333334","0.9583333333333334","batman: arkham origins","batman: arkham origins","batman: arkham origins","batman: arkham origins","1.0","1.0","Batman: Arkham Origins","Batman: Arkham Origins","Batman: Arkham Origins","Batman: Arkham Origins","1.0","1.0","Batman: Arkham Origins","Batman: Arkham Origins","Batman: Arkham Origins","Batman: Arkham Origins","1.0","1.0","Wii U","Wii U","Wii U","Wii U","1.0","1.0",", Warner Bros. Interactive Entertainment, ",", Warner Bros. Interactive Entertainment, ",", Warner Bros. Interactive Entertainment, ",", Warner Bros. Interactive Entertainment, ","1.0","1.0",", warner bros. interactive entertainment, ",", warner bros. interactive entertainment, ",", warner bros. interactive entertainment, ",", warner bros. interactive entertainment, ","1.0","1.0","2013-10-25T00:00","2013-01-01T00:00","2013-10-25T00:00","2013-01-01T00:00","1.0","1.0","wii u","wii u","wii u","wii u","1.0","1.0"
"WekaMatchingRule","DBpedia_Video_Game_7638","VG_Sales12728","0.9619482496194824","1","","","","","0.0","0.0",", Action role-playing game, ",", Role-Playing, ",", Action role-playing game, ",", Role-Playing, ","0.8666666746139526","0.8666666746139526","lost kingdoms ii","lost kingdoms ii","lost kingdoms ii","lost kingdoms ii","1.0","1.0","Lost Kingdoms II","Lost Kingdoms II","Lost Kingdoms II","Lost Kingdoms II","1.0","1.0","Lost Kingdoms II","Lost Kingdoms II","Lost Kingdoms II","Lost Kingdoms II","1.0","1.0","GameCube","GameCube","GameCube","GameCube","1.0","1.0",", Activision, ",", Activision, ",", Activision, ",", Activision, ","1.0","1.0",", activision, ",", activision, ",", activision, ",", activision, ","1.0","1.0","2003-05-13T00:00","2003-01-01T00:00","2003-05-13T00:00","2003-01-01T00:00","1.0","1.0","gamecube","gamecube","gamecube","gamecube","1.0","1.0"
"WekaMatchingRule","DBpedia_Video_Game_5675","VG_Sales4662","0.9619482496194824","1","","","","","0.0","0.0",", Sports game, ",", Fighting, ",", Sports game, ",", Fighting, ","0.8257575730482737","0.8257575730482737","wwe all stars","wwe all stars","wwe all stars","wwe all stars","1.0","1.0","WWE All Stars","WWE All Stars","WWE All Stars","WWE All Stars","1.0","1.0","WWE All Stars","WWE All Stars","WWE All Stars","WWE All Stars","1.0","1.0","PlayStation 3","PlayStation 3","PlayStation 3","PlayStation 3","1.0","1.0",", THQ, ",", THQ, ",", THQ, ",", THQ, ","1.0","1.0",", thq, ",", thq, ",", thq, ",", thq, ","1.0","1.0","2011-03-29T00:00","2011-01-01T00:00","2011-03-29T00:00","2011-01-01T00:00","1.0","1.0","playstation 3","playstation 3","playstation 3","playstation 3","1.0","1.0"
"WekaMatchingRule","DBpedia_Video_Game_19052","VG_Sales637","0.9619482496194824","1","","","","","0.0","0.0",", First-person shooter, , Tactical shooter, ",", Shooter, ",", First-person shooter, , Tactical shooter, ",", Shooter, ","0.7817857086658477","0.7817857086658477","tom clancy's rainbow six: vegas 2","tom clancy's rainbow six: vegas 2","tom clancy's rainbow six: vegas 2","tom clancy's rainbow six: vegas 2","1.0","1.0","Tom Clancy's Rainbow Six: Vegas 2","Tom Clancy's Rainbow Six: Vegas 2","Tom Clancy's Rainbow Six: Vegas 2","Tom Clancy's Rainbow Six: Vegas 2","1.0","1.0","Tom Clancy's Rainbow Six: Vegas 2","Tom Clancy's Rainbow Six: Vegas 2","Tom Clancy's Rainbow Six: Vegas 2","Tom Clancy's Rainbow Six: Vegas 2","1.0","1.0","Xbox 360","Xbox 360","Xbox 360","Xbox 360","1.0","1.0",", Ubisoft, ",", Ubisoft, ",", Ubisoft, ",", Ubisoft, ","1.0","1.0",", ubisoft, ",", ubisoft, ",", ubisoft, ",", ubisoft, ","1.0","1.0","2008-03-18T00:00","2008-01-01T00:00","2008-03-18T00:00","2008-01-01T00:00","1.0","1.0","xbox 360","xbox 360","xbox 360","xbox 360","1.0","1.0"
"WekaMatchingRule","DBpedia_Video_Game_19428","VG_Sales2460","0.9619482496194824","1","","","","","0.0","0.0",", Action role-playing, ",", Role-Playing, ",", Action role-playing, ",", Role-Playing, ","0.8788499037424723","0.8788499037424723","xenoblade chronicles x","xenoblade chronicles x","xenoblade chronicles x","xenoblade chronicles x","1.0","1.0","Xenoblade Chronicles X","Xenoblade Chronicles X","Xenoblade Chronicles X","Xenoblade Chronicles X","1.0","1.0","Xenoblade Chronicles X","Xenoblade Chronicles X","Xenoblade Chronicles X","Xenoblade Chronicles X","1.0","1.0","Wii U","Wii U","Wii U","Wii U","1.0","1.0",", Nintendo, ",", Nintendo, ",", Nintendo, ",", Nintendo, ","1.0","1.0",", nintendo, ",", nintendo, ",", nintendo, ",", nintendo, ","1.0","1.0","2015-04-29T00:00","2015-01-01T00:00","2015-04-29T00:00","2015-01-01T00:00","1.0","1.0","wii u","wii u","wii u","wii u","1.0","1.0"
"WekaMatchingRule","DBpedia_Video_Game_9672","VG_Sales581","0.9619482496194824","1","","","","","0.0","0.0",", List of American football video games, ",", Sports, ",", List of American football video games, ",", Sports, ","0.8083083033561707","0.8083083033561707","espn nfl 2k5","espn nfl 2k5","espn nfl 2k5","espn nfl 2k5","1.0","1.0","ESPN NFL 2K5","ESPN NFL 2K5","ESPN NFL 2K5","ESPN NFL 2K5","1.0","1.0","ESPN NFL 2K5","ESPN NFL 2K5","ESPN NFL 2K5","ESPN NFL 2K5","1.0","1.0","PlayStation 2","PlayStation 2","PlayStation 2","PlayStation 2","1.0","1.0",", Sega, ",", Sega, ",", Sega, ",", Sega, ","1.0","1.0",", sega, ",", sega, ",", sega, ",", sega, ","1.0","1.0","2004-07-20T00:00","2004-01-01T00:00","2004-07-20T00:00","2004-01-01T00:00","1.0","1.0","playstation 2","playstation 2","playstation 2","playstation 2","1.0","1.0"
"WekaMatchingRule","DBpedia_Video_Game_1020","VG_Sales1380","0.9619482496194824","1","","","","","0.0","0.0",", First-person shooter, ",", Shooter, ",", First-person shooter, ",", Shooter, ","0.8357142806053162","0.8357142806053162","call of duty: black ops","call of duty: black ops","call of duty: black ops","call of duty: black ops","1.0","1.0","Call of Duty: Black Ops","Call of Duty: Black Ops","Call of Duty: Black Ops","Call of Duty: Black Ops","1.0","1.0","Call of Duty: Black Ops","Call of Duty: Black Ops","Call of Duty: Black Ops","Call of Duty: Black Ops","1.0","1.0","Wii","Wii","Wii","Wii","1.0","1.0",", Activision, ",", Activision, ",", Activision, ",", Activision, ","1.0","1.0",", activision, ",", activision, ",", activision, ",", activision, ","1.0","1.0","2010-11-09T00:00","2010-01-01T00:00","2010-11-09T00:00","2010-01-01T00:00","1.0","1.0","wii","wii","wii","wii","1.0","1.0"
