"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameDevComparatorJaccard record1Value","[0] GameDevComparatorJaccard record2Value","[0] GameDevComparatorJaccard record1PreprocessedValue","[0] GameDevComparatorJaccard record2PreprocessedValue","[0] GameDevComparatorJaccard similarity","[0] GameDevComparatorJaccard postproccesedSimilarity","[1] GameGenreComparatorMongeElkan record1Value","[1] GameGenreComparatorMongeElkan record2Value","[1] GameGenreComparatorMongeElkan record1PreprocessedValue","[1] GameGenreComparatorMongeElkan record2PreprocessedValue","[1] GameGenreComparatorMongeElkan similarity","[1] GameGenreComparatorMongeElkan postproccesedSimilarity","[2] GameNameComparatorLowerCaseJaccard record1Value","[2] GameNameComparatorLowerCaseJaccard record2Value","[2] GameNameComparatorLowerCaseJaccard record1PreprocessedValue","[2] GameNameComparatorLowerCaseJaccard record2PreprocessedValue","[2] GameNameComparatorLowerCaseJaccard similarity","[2] GameNameComparatorLowerCaseJaccard postproccesedSimilarity","[3] GameNameComparatorLevenshtein record1Value","[3] GameNameComparatorLevenshtein record2Value","[3] GameNameComparatorLevenshtein record1PreprocessedValue","[3] GameNameComparatorLevenshtein record2PreprocessedValue","[3] GameNameComparatorLevenshtein similarity","[3] GameNameComparatorLevenshtein postproccesedSimilarity","[4] GameNameComparatorJaccard record1Value","[4] GameNameComparatorJaccard record2Value","[4] GameNameComparatorJaccard record1PreprocessedValue","[4] GameNameComparatorJaccard record2PreprocessedValue","[4] GameNameComparatorJaccard similarity","[4] GameNameComparatorJaccard postproccesedSimilarity","[5] GamePlatformComparatorMongeElkan record1Value","[5] GamePlatformComparatorMongeElkan record2Value","[5] GamePlatformComparatorMongeElkan record1PreprocessedValue","[5] GamePlatformComparatorMongeElkan record2PreprocessedValue","[5] GamePlatformComparatorMongeElkan similarity","[5] GamePlatformComparatorMongeElkan postproccesedSimilarity","[6] GamePublisherComparatorLevenshtein record1Value","[6] GamePublisherComparatorLevenshtein record2Value","[6] GamePublisherComparatorLevenshtein record1PreprocessedValue","[6] GamePublisherComparatorLevenshtein record2PreprocessedValue","[6] GamePublisherComparatorLevenshtein similarity","[6] GamePublisherComparatorLevenshtein postproccesedSimilarity","[7] GamePublisherLJaccard record1Value","[7] GamePublisherLJaccard record2Value","[7] GamePublisherLJaccard record1PreprocessedValue","[7] GamePublisherLJaccard record2PreprocessedValue","[7] GamePublisherLJaccard similarity","[7] GamePublisherLJaccard postproccesedSimilarity","[8] GameReleaseComparatorExactYear record1Value","[8] GameReleaseComparatorExactYear record2Value","[8] GameReleaseComparatorExactYear record1PreprocessedValue","[8] GameReleaseComparatorExactYear record2PreprocessedValue","[8] GameReleaseComparatorExactYear similarity","[8] GameReleaseComparatorExactYear postproccesedSimilarity","[9] GamePlatformComparatorJaccard record1Value","[9] GamePlatformComparatorJaccard record2Value","[9] GamePlatformComparatorJaccard record1PreprocessedValue","[9] GamePlatformComparatorJaccard record2PreprocessedValue","[9] GamePlatformComparatorJaccard similarity","[9] GamePlatformComparatorJaccard postproccesedSimilarity"
"WekaMatchingRule","Kaggle1_Video_Game_5087","VG_Sales5106","0.08089171974522293","1","","","","","0.0","0.0",", Role-Playing, ",", Role-Playing, ",", Role-Playing, ",", Role-Playing, ","1.0","1.0","phantasy star portable 2: infinity","phantasy star portable 2: infinity","phantasy star portable 2: infinity","phantasy star portable 2: infinity","1.0","1.0","Phantasy Star Portable 2: Infinity","Phantasy Star Portable 2: Infinity","Phantasy Star Portable 2: Infinity","Phantasy Star Portable 2: Infinity","1.0","1.0","Phantasy Star Portable 2: Infinity","Phantasy Star Portable 2: Infinity","Phantasy Star Portable 2: Infinity","Phantasy Star Portable 2: Infinity","1.0","1.0","PSP","PSP","PSP","PSP","1.0","1.0",", Sega, ",", Sega, ",", Sega, ",", Sega, ","1.0","1.0",", sega, ",", sega, ",", sega, ",", sega, ","1.0","1.0","2011-01-01T00:00","2011-01-01T00:00","2011-01-01T00:00","2011-01-01T00:00","1.0","1.0","psp","psp","psp","psp","1.0","1.0"
"WekaMatchingRule","Kaggle1_Video_Game_7643","VG_Sales7657","0.08089171974522293","0",", handheld games, ","",", handheld games, ","","0.0","0.0",", Misc, ",", Misc, ",", Misc, ",", Misc, ","1.0","1.0","the cheetah girls: passport to stardom","the cheetah girls: passport to stardom","the cheetah girls: passport to stardom","the cheetah girls: passport to stardom","1.0","1.0","The Cheetah Girls: Passport to Stardom","The Cheetah Girls: Passport to Stardom","The Cheetah Girls: Passport to Stardom","The Cheetah Girls: Passport to Stardom","1.0","1.0","The Cheetah Girls: Passport to Stardom","The Cheetah Girls: Passport to Stardom","The Cheetah Girls: Passport to Stardom","The Cheetah Girls: Passport to Stardom","1.0","1.0","DS","DS","DS","DS","1.0","1.0",", Disney Interactive Studios, ",", Disney Interactive Studios, ",", Disney Interactive Studios, ",", Disney Interactive Studios, ","1.0","1.0",", disney interactive studios, ",", disney interactive studios, ",", disney interactive studios, ",", disney interactive studios, ","1.0","1.0","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","1.0","1.0","ds","ds","ds","ds","1.0","1.0"
"WekaMatchingRule","Kaggle1_Video_Game_731","VG_Sales691","0.08089171974522293","0",", tt games, ","",", tt games, ","","0.0","0.0",", Action, ",", Action, ",", Action, ",", Action, ","1.0","1.0","lego marvel super heroes","lego marvel super heroes","lego marvel super heroes","lego marvel super heroes","1.0","1.0","LEGO Marvel Super Heroes","LEGO Marvel Super Heroes","LEGO Marvel Super Heroes","LEGO Marvel Super Heroes","1.0","1.0","LEGO Marvel Super Heroes","LEGO Marvel Super Heroes","LEGO Marvel Super Heroes","LEGO Marvel Super Heroes","1.0","1.0","Xbox 360","Xbox 360","Xbox 360","Xbox 360","1.0","1.0",", Warner Bros. Interactive Entertainment, ",", Warner Bros. Interactive Entertainment, ",", Warner Bros. Interactive Entertainment, ",", Warner Bros. Interactive Entertainment, ","1.0","1.0",", warner bros. interactive entertainment, ",", warner bros. interactive entertainment, ",", warner bros. interactive entertainment, ",", warner bros. interactive entertainment, ","1.0","1.0","2013-01-01T00:00","2013-01-01T00:00","2013-01-01T00:00","2013-01-01T00:00","1.0","1.0","xbox 360","xbox 360","xbox 360","xbox 360","1.0","1.0"
"WekaMatchingRule","Kaggle1_Video_Game_2877","VG_Sales2877","0.08089171974522293","0","","","","","0.0","0.0",", Strategy, ",", Strategy, ",", Strategy, ",", Strategy, ","1.0","1.0","yu-gi-oh! the falsebound kingdom","yu-gi-oh! the falsebound kingdom","yu-gi-oh! the falsebound kingdom","yu-gi-oh! the falsebound kingdom","1.0","1.0","Yu-Gi-Oh! The Falsebound Kingdom","Yu-Gi-Oh! The Falsebound Kingdom","Yu-Gi-Oh! The Falsebound Kingdom","Yu-Gi-Oh! The Falsebound Kingdom","1.0","1.0","Yu-Gi-Oh! The Falsebound Kingdom","Yu-Gi-Oh! The Falsebound Kingdom","Yu-Gi-Oh! The Falsebound Kingdom","Yu-Gi-Oh! The Falsebound Kingdom","1.0","1.0","GC","GC","GC","GC","1.0","1.0",", Konami Digital Entertainment, ",", Konami Digital Entertainment, ",", Konami Digital Entertainment, ",", Konami Digital Entertainment, ","1.0","1.0",", konami digital entertainment, ",", konami digital entertainment, ",", konami digital entertainment, ",", konami digital entertainment, ","1.0","1.0","2002-01-01T00:00","2002-01-01T00:00","2002-01-01T00:00","2002-01-01T00:00","1.0","1.0","gc","gc","gc","gc","1.0","1.0"
"WekaMatchingRule","Kaggle1_Video_Game_1580","VG_Sales1551","0.08089171974522293","1",", nixxes software, ","",", nixxes software, ","","0.0","0.0",", Action, ",", Action, ",", Action, ",", Action, ","1.0","1.0","tomb raider: underworld","tomb raider: underworld","tomb raider: underworld","tomb raider: underworld","1.0","1.0","Tomb Raider: Underworld","Tomb Raider: Underworld","Tomb Raider: Underworld","Tomb Raider: Underworld","1.0","1.0","Tomb Raider: Underworld","Tomb Raider: Underworld","Tomb Raider: Underworld","Tomb Raider: Underworld","1.0","1.0","PlayStation3","PlayStation3","PlayStation3","PlayStation3","1.0","1.0",", Eidos Interactive, ",", Eidos Interactive, ",", Eidos Interactive, ",", Eidos Interactive, ","1.0","1.0",", eidos interactive, ",", eidos interactive, ",", eidos interactive, ",", eidos interactive, ","1.0","1.0","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","1.0","1.0","playstation3","playstation3","playstation3","playstation3","1.0","1.0"
"WekaMatchingRule","Kaggle1_Video_Game_7214","VG_Sales3785",,"0",", thq, ","",", thq, ","","0.0","0.0",", Action, ",", Misc, ",", Action, ",", Misc, ","0.8148148159186045","0.8148148159186045","all star karate","singstar dance","all star karate","singstar dance","0.0","0.0","All Star Karate","SingStar Dance","All Star Karate","SingStar Dance","0.4666666666666667","0.4666666666666667","All Star Karate","SingStar Dance","All Star Karate","SingStar Dance","0.0","0.0","Wii","PlayStation3","Wii","PlayStation3","0.0","0.0",", THQ, ",", Sony Computer Entertainment, ",", THQ, ",", Sony Computer Entertainment, ","0.16129032258064513","0.16129032258064513",", thq, ",", sony computer entertainment, ",", thq, ",", sony computer entertainment, ","0.0","0.0","2010-01-01T00:00","2010-01-01T00:00","2010-01-01T00:00","2010-01-01T00:00","1.0","1.0","wii","playstation3","wii","playstation3","0.0","0.0"
"WekaMatchingRule","Kaggle1_Video_Game_2766","VG_Sales2310",,"0",", stormfront studios, ","",", stormfront studios, ","","0.0","0.0",", Sports, ",", Sports, ",", Sports, ",", Sports, ","1.0","1.0","tiger woods pga tour 2001","tiger woods pga tour 12: the masters","tiger woods pga tour 2001","tiger woods pga tour 12: the masters","0.5","0.0","Tiger Woods PGA Tour 2001","Tiger Woods PGA Tour 12: The Masters","Tiger Woods PGA Tour 2001","Tiger Woods PGA Tour 12: The Masters","0.6111111111111112","0.6111111111111112","Tiger Woods PGA Tour 2001","Tiger Woods PGA Tour 12: The Masters","Tiger Woods PGA Tour 2001","Tiger Woods PGA Tour 12: The Masters","0.5","0.0","PlayStation2","PlayStation3","PlayStation2","PlayStation3","0.9666666388511658","0.9666666388511658",", Electronic Arts, ",", Electronic Arts, ",", Electronic Arts, ",", Electronic Arts, ","1.0","1.0",", electronic arts, ",", electronic arts, ",", electronic arts, ",", electronic arts, ","1.0","1.0","2001-01-01T00:00","2011-01-01T00:00","2001-01-01T00:00","2011-01-01T00:00","0.0","0.0","playstation2","playstation3","playstation2","playstation3","0.3333333333333333","0.0"
"WekaMatchingRule","Kaggle1_Video_Game_3368","VG_Sales3305","0.08089171974522293","0","","","","","0.0","0.0",", Platform, ",", Platform, ",", Platform, ",", Platform, ","1.0","1.0","new play control! donkey kong jungle beat","new play control! donkey kong jungle beat","new play control! donkey kong jungle beat","new play control! donkey kong jungle beat","1.0","1.0","New Play Control! Donkey Kong Jungle Beat","New Play Control! Donkey Kong Jungle Beat","New Play Control! Donkey Kong Jungle Beat","New Play Control! Donkey Kong Jungle Beat","1.0","1.0","New Play Control! Donkey Kong Jungle Beat","New Play Control! Donkey Kong Jungle Beat","New Play Control! Donkey Kong Jungle Beat","New Play Control! Donkey Kong Jungle Beat","1.0","1.0","Wii","Wii","Wii","Wii","1.0","1.0",", Nintendo, ",", Nintendo, ",", Nintendo, ",", Nintendo, ","1.0","1.0",", nintendo, ",", nintendo, ",", nintendo, ",", nintendo, ","1.0","1.0","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","1.0","1.0","wii","wii","wii","wii","1.0","1.0"
"WekaMatchingRule","Kaggle1_Video_Game_9219","VG_Sales9219","0.08089171974522293","0","","","","","0.0","0.0",", Fighting, ",", Fighting, ",", Fighting, ",", Fighting, ","1.0","1.0","ultimate muscle - the kinnikuman legacy: legends vs new generation","ultimate muscle - the kinnikuman legacy: legends vs new generation","ultimate muscle - the kinnikuman legacy: legends vs new generation","ultimate muscle - the kinnikuman legacy: legends vs new generation","1.0","1.0","Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation","Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation","Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation","Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation","1.0","1.0","Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation","Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation","Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation","Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation","1.0","1.0","GC","GC","GC","GC","1.0","1.0",", Namco Bandai Games, ",", Namco Bandai Games, ",", Namco Bandai Games, ",", Namco Bandai Games, ","1.0","1.0",", namco bandai games, ",", namco bandai games, ",", namco bandai games, ",", namco bandai games, ","1.0","1.0","2002-01-01T00:00","2002-01-01T00:00","2002-01-01T00:00","2002-01-01T00:00","1.0","1.0","gc","gc","gc","gc","1.0","1.0"
"WekaMatchingRule","Kaggle1_Video_Game_5432","VG_Sales5302","0.08089171974522293","0",", exient entertainment, ","",", exient entertainment, ","","0.0","0.0",", Strategy, ",", Strategy, ",", Strategy, ",", Strategy, ","1.0","1.0","angry birds star wars","angry birds star wars","angry birds star wars","angry birds star wars","1.0","1.0","Angry Birds Star Wars","Angry Birds Star Wars","Angry Birds Star Wars","Angry Birds Star Wars","1.0","1.0","Angry Birds Star Wars","Angry Birds Star Wars","Angry Birds Star Wars","Angry Birds Star Wars","1.0","1.0","3DS","Wii","3DS","Wii","0.0","0.0",", Activision, ",", Activision, ",", Activision, ",", Activision, ","1.0","1.0",", activision, ",", activision, ",", activision, ",", activision, ","1.0","1.0","2013-01-01T00:00","2013-01-01T00:00","2013-01-01T00:00","2013-01-01T00:00","1.0","1.0","3ds","wii","3ds","wii","0.0","0.0"
