"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameReleaseComparatorExactYear record1Value","[0] GameReleaseComparatorExactYear record2Value","[0] GameReleaseComparatorExactYear record1PreprocessedValue","[0] GameReleaseComparatorExactYear record2PreprocessedValue","[0] GameReleaseComparatorExactYear similarity","[0] GameReleaseComparatorExactYear postproccesedSimilarity","[1] GameNameComparatorLowerCaseJaccard record1Value","[1] GameNameComparatorLowerCaseJaccard record2Value","[1] GameNameComparatorLowerCaseJaccard record1PreprocessedValue","[1] GameNameComparatorLowerCaseJaccard record2PreprocessedValue","[1] GameNameComparatorLowerCaseJaccard similarity","[1] GameNameComparatorLowerCaseJaccard postproccesedSimilarity","[2] GameGenreComparatorMongeElkan record1Value","[2] GameGenreComparatorMongeElkan record2Value","[2] GameGenreComparatorMongeElkan record1PreprocessedValue","[2] GameGenreComparatorMongeElkan record2PreprocessedValue","[2] GameGenreComparatorMongeElkan similarity","[2] GameGenreComparatorMongeElkan postproccesedSimilarity"
"LinearCombinationMatchingRule","DBpedia_Video_Game_4816","Kaggle1_Video_Game_449","0.0",,"1992-08-01T00:00","2013-01-01T00:00","1992-08-01T00:00","2013-01-01T00:00","0.0","0.0","the legend of kyrandia","the legend of zelda: a link between worlds","the legend of kyrandia","the legend of zelda: a link between worlds","0.3333333333333333","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_9032","Kaggle1_Video_Game_4772","0.0",,"2008-06-12T00:00","2013-01-01T00:00","2008-06-12T00:00","2013-01-01T00:00","0.0","0.0","metal gear solid 4: guns of the patriots","metal gear solid: the legacy collection","metal gear solid 4: guns of the patriots","metal gear solid: the legacy collection","0.4","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_6688","Kaggle1_Video_Game_6818","0.0",,"2010-02-09T00:00","2005-01-01T00:00","2010-02-09T00:00","2005-01-01T00:00","0.0","0.0","super monkey ball: step & roll","super monkey ball deluxe","super monkey ball: step & roll","super monkey ball deluxe","0.5","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_7835","Kaggle1_Video_Game_2765","0.2",,"2002-09-24T00:00","2002-01-01T00:00","2002-09-24T00:00","2002-01-01T00:00","1.0","1.0","the lord of the rings: the fellowship of the ring (video game)","the lord of the rings: the two towers","the lord of the rings: the fellowship of the ring (video game)","the lord of the rings: the two towers","0.4","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_8433","Kaggle1_Video_Game_6951","0.0",,"2004-12-09T00:00","2006-01-01T00:00","2004-12-09T00:00","2006-01-01T00:00","0.0","0.0","mobile suit gundam: gundam vs. zeta gundam","mobile suit gundam: climax u.c.","mobile suit gundam: gundam vs. zeta gundam","mobile suit gundam: climax u.c.","0.375","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_7822","Kaggle1_Video_Game_15966","0.0",,"2002-08-19T00:00","2004-01-01T00:00","2002-08-19T00:00","2004-01-01T00:00","0.0","0.0","dead to rights (video game)","dead to rights","dead to rights (video game)","dead to rights","0.6","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_8428","Kaggle1_Video_Game_24","0.0",,"2005-10-24T00:00","2013-01-01T00:00","2005-10-24T00:00","2013-01-01T00:00","0.0","0.0","grand theft auto: liberty city stories","grand theft auto v","grand theft auto: liberty city stories","grand theft auto v","0.42857142857142855","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_8428","Kaggle1_Video_Game_25","0.0",,"2005-10-24T00:00","2002-01-01T00:00","2005-10-24T00:00","2002-01-01T00:00","0.0","0.0","grand theft auto: liberty city stories","grand theft auto: vice city","grand theft auto: liberty city stories","grand theft auto: vice city","0.5714285714285714","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_1806","Kaggle1_Video_Game_851","0.1",,"2013-10-01T00:00","2014-01-01T00:00","2013-10-01T00:00","2014-01-01T00:00","0.5","0.5","just dance 2014","just dance 2015","just dance 2014","just dance 2015","0.5","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_3482","Kaggle1_Video_Game_3983","0.1",,"2008-10-21T00:00","2007-01-01T00:00","2008-10-21T00:00","2007-01-01T00:00","0.5","0.5","dance dance revolution universe 3","dance dance revolution universe 2","dance dance revolution universe 3","dance dance revolution universe 2","0.6","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_7204","Kaggle1_Video_Game_13877","0.0",,"1999-10-22T00:00","2003-01-01T00:00","1999-10-22T00:00","2003-01-01T00:00","0.0","0.0","grand theft auto 2","grand theft auto: vice city","grand theft auto 2","grand theft auto: vice city","0.5","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_6801","Kaggle1_Video_Game_234","0.1",,"2003-01-23T00:00","2002-01-01T00:00","2003-01-23T00:00","2002-01-01T00:00","0.5","0.5","the legend of sword and fairy 2","the legend of zelda: the wind waker","the legend of sword and fairy 2","the legend of zelda: the wind waker","0.3","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_1272","Kaggle1_Video_Game_14378","0.0",,"2007-04-19T00:00","2016-01-01T00:00","2007-04-19T00:00","2016-01-01T00:00","0.0","0.0","soul of the ultimate nation","song of the deep","soul of the ultimate nation","song of the deep","0.2857142857142857","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_2366","Kaggle1_Video_Game_3485","0.0",,"2001-03-15T00:00","2014-01-01T00:00","2001-03-15T00:00","2014-01-01T00:00","0.0","0.0","pro evolution soccer (video game)","pro evolution soccer 2015","pro evolution soccer (video game)","pro evolution soccer 2015","0.5","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_6484","Kaggle1_Video_Game_8202","0.0",,"2003-01-22T00:00","2010-01-01T00:00","2003-01-22T00:00","2010-01-01T00:00","0.0","0.0","dead or alive xtreme beach volleyball","dead or alive paradise","dead or alive xtreme beach volleyball","dead or alive paradise","0.42857142857142855","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_8428","Kaggle1_Video_Game_17","0.0",,"2005-10-24T00:00","2013-01-01T00:00","2005-10-24T00:00","2013-01-01T00:00","0.0","0.0","grand theft auto: liberty city stories","grand theft auto v","grand theft auto: liberty city stories","grand theft auto v","0.42857142857142855","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_7543","Kaggle1_Video_Game_5181","0.1",,"2006-11-07T00:00","2005-01-01T00:00","2006-11-07T00:00","2005-01-01T00:00","0.5","0.5","roboblitz","robots","roboblitz","robots","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_2874","Kaggle1_Video_Game_12482","0.1",,"2011-01-01T00:00","2010-01-01T00:00","2011-01-01T00:00","2010-01-01T00:00","0.5","0.5","spacechem","speed","spacechem","speed","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_3236","Kaggle1_Video_Game_12650","0.0",,"2005-08-04T00:00","2010-01-01T00:00","2005-08-04T00:00","2010-01-01T00:00","0.0","0.0","pro evolution soccer 5","pro evolution soccer 2011","pro evolution soccer 5","pro evolution soccer 2011","0.6","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_3791","Kaggle1_Video_Game_494","0.0",,"2008-11-11T00:00","2013-01-01T00:00","2008-11-11T00:00","2013-01-01T00:00","0.0","0.0","call of duty: world at war","call of duty: ghosts","call of duty: world at war","call of duty: ghosts","0.42857142857142855","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_5157","Kaggle1_Video_Game_4419","0.8",,"1991-06-28T00:00","1991-01-01T00:00","1991-06-28T00:00","1991-01-01T00:00","1.0","1.0","bomberman ii","bomberman ii","bomberman ii","bomberman ii","1.0","1.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_2153","Kaggle1_Video_Game_2862","0.0",,"2006-11-28T00:00","2002-01-01T00:00","2006-11-28T00:00","2002-01-01T00:00","0.0","0.0","the lord of the rings: the battle for middle-earth ii: the rise of the witch-king","the lord of the rings: the two towers","the lord of the rings: the battle for middle-earth ii: the rise of the witch-king","the lord of the rings: the two towers","0.2857142857142857","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_4074","Kaggle1_Video_Game_5054","0.0",,"1999-01-29T00:00","2005-01-01T00:00","1999-01-29T00:00","2005-01-01T00:00","0.0","0.0","dance dance revolution 2ndmix","dance dance revolution ultramix 3","dance dance revolution 2ndmix","dance dance revolution ultramix 3","0.3333333333333333","0.0","","","","","0.0","0.0"
